Palabra,Frecuencia
ramo,19099
tomar,8571
college,7700
semestre,7403
curso,7094
cupos,6607
major,5869
solicitud,4768
cursos,4413
sección,3911
minor,3897
cupo,3888
poder,3621
nrc,3479
saber,3352
malla,3319
necesito,3183
hacer,3174
créditos,3099
buenas,2973
inscribir,2950
horario,2788
puedo,2687
respuesta,2684
inscripción,2631
año,2613
vacantes,2447
quería,2422
esto,2205
antemano,2161
ciencias,2157
quedo,2133
derecho,2120
son,2107
ingeniería,2075
solo,2005
hay,1991
debo,1946
problema,1866
he,1798
gustaría,1778
más,1744
les,1704
esperando,1688
quiero,1684
muy,1663
soy,1662
dos,1653
académica,1621
posible,1616
segundo,1570
caso,1550
yo,1545
posibilidad,1543
ayuda,1542
solicitar,1526
atenta,1486
mis,1465
otro,1447
duda,1396
junto,1370
días,1366
tiene,1342
curricular,1340
tope,1333
realizar,1297
cambio,1288
estos,1279
pude,1272
quedan,1257
primer,1256
situación,1251
tener,1243
otra,1228
qué,1220
ahora,1205
embargo,1201
carrera,1199
estimados,1198
también,1195
buenos,1191
ser,1183
ese,1170
día,1165
sociales,1145
ver,1139
tomarlo,1126
nombre,1123
traspaso,1121
rut,1118
así,1102
reajuste,1100
saludar,1094
disponibles,1062
además,1048
i,1024
introducción,1023
quisiera,1012
requisito,1004
requisitos,998
excepcional,996
libres,982
secciones,970
mat,964
mismo,940
encuentre,927
alguna,913
uno,906
favor,893
último,889
encuentren,885
proceso,882
psicología,878
atento,878
puede,860
eso,856
electivo,853
falta,851
pasado,843
hoy,841
pueda,835
todos,832
cordiales,827
sigla,824
podría,822
antes,813
tiempo,812
naturales,811
hace,802
unidad,801
problemas,800
momento,794
aparece,791
egreso,788
puedan,786
existe,782
tuve,781
mayor,778
fue,777
profesor,774
mas,772
general,761
aún,761
consulta,757
actualmente,756
dado,756
encuentro,753
adjunto,748
dijeron,743
comunicaciones,742
licenciatura,742
parte,735
tav,735
ustedes,733
dudas,731
pedir,731
seguir,717
error,717
estudiante,716
información,715
matemáticas,710
otros,709
cuenta,704
creditos,704
había,703
mucho,688
hora,685
optativo,680
consultar,675
economía,665
preguntar,660
uc,660
entonces,658
era,652
diseño,645
e,643
anterior,642
banner,637
tanto,637
tome,636
manera,635
universidad,634
pueden,631
ii,630
cuales,623
vez,617
próximo,615
admisión,605
social,603
sé,602
ayudar,602
sería,596
título,595
sistema,592
todo,588
ics,583
avance,581
opción,581
estudios,578
tenía,576
taller,576
artes,574
inscrito,573
está,572
clases,571
esa,569
laboratorio,568
cómo,561
historia,560
tomé,558
correo,556
todas,551
cualquier,548
planner,544
nuevamente,541
civil,530
siguiente,527
fecha,527
estaba,525
sus,524
ha,524
calculo,524
primera,521
forma,520
tienen,518
completar,517
com,517
debería,515
dar,515
agradezco,513
cursar,512
seguimiento,510
fis,508
mínimo,505
terminar,505
haber,497
ni,495
hice,494
gestión,492
facultad,491
agradecería,490
comunico,488
cursando,481
tema,481
inscribirlo,476
algo,473
algún,472
atrasarme,470
química,470
examen,469
articulación,466
segunda,466
investigación,465
sale,465
egresar,462
están,461
periodo,461
necesario,459
aun,458
siendo,457
semana,455
esos,455
iic,455
test,452
voy,450
optativos,448
dice,445
sea,445
seccion,445
portal,441
otras,438
datos,438
queda,437
ccnn,436
semestres,436
luego,433
vacante,431
enero,429
cálculo,428
ccss,427
solicito,426
ambos,425
filosofía,424
teoría,423
dentro,422
verdad,419
arquitectura,418
ninguna,417
anteriormente,416
humanidades,416
pido,416
certificado,413
opciones,411
han,410
comercial,409
faltan,403
inglés,400
ncr,399
hacerlo,398
deja,397
mail,396
relaciones,396
cambiar,396
alumno,394
estar,394
código,393
habían,393
abrir,390
formulario,389
corresponde,387
sirve,386
fundamentos,382
siguientes,382
práctica,382
estado,381
obtener,381
salud,380
urgente,377
internacionales,376
cumplo,375
entendido,374
antropología,372
haciendo,372
inscribirme,370
ciencia,367
avanzar,367
políticas,365
botar,364
carga,363
tenia,362
profesional,359
importante,359
ultimo,358
medio,358
electivos,355
después,355
horarios,354
ningún,354
tampoco,352
único,352
titulo,350
entiendo,348
mesa,348
sobrecupo,346
ingenieria,346
podrían,343
disciplinario,342
igual,341
programación,338
cumplir,336
nota,336
tomo,334
estimadoa,334
mensaje,330
pesar,326
medicina,326
narración,324
asignación,323
estas,322
académico,321
tomado,321
trabajo,319
única,318
podía,318
atentamente,316
aprobado,316
mínimos,316
puesto,315
disponible,315
ranking,315
mañana,314
solución,314
convalidación,313
poco,313
nada,312
busca,310
pregunta,310
comunicación,309
afg,306
fin,304
página,302
motivo,302
buen,302
política,302
hablar,301
lamentablemente,301
quedaban,301
generación,300
todavía,297
convalidar,297
plan,297
prueba,296
ayudarme,294
n,293
intranet,293
di,293
solicitudes,292
ing,292
atención,291
debía,290
comprensión,289
te,289
tal,287
cambiarme,286
retiro,286
clase,285
optar,283
lineal,282
tendría,281
menos,280
ingresar,276
algunos,276
misma,275
intenté,275
dicho,275
resulta,275
acabaron,274
formación,273
hecho,273
final,273
lugar,272
topa,272
hago,271
electricidad,269
intercambio,269
realmente,266
podido,265
mejor,264
sí,264
inscritos,264
reunión,264
necesarios,263
debe,261
educación,261
nuevo,260
academica,260
coordinación,260
razón,260
eae,259
tomando,259
ir,258
ingles,258
lado,258
desarrollo,257
gustaria,257
tercer,257
fil,256
quede,256
pendiente,255
inscribí,254
qim,254
fui,254
ayer,253
magnetismo,253
atte,252
quien,251
revisar,248
sistemas,248
tomarlos,248
calza,245
carta,245
deseo,244
área,244
esperar,242
buscacursos,241
considerando,241
bastante,241
lunes,240
estudiantes,240
pudieran,239
tenga,239
extra,238
solucionar,237
doble,237
continuar,237
empresa,237
cada,237
estaré,236
creo,236
primero,236
estaría,236
marketing,236
dijo,235
eaa,235
decir,235
agregar,234
marzo,234
sólo,234
dejo,233
inscripcion,233
pasa,233
intente,232
to,232
profesora,232
intención,231
tres,230
psi,230
porfavor,230
usted,230
permite,229
casa,229
seria,228
existen,226
ellos,225
física,225
cuarto,224
intentar,223
públicas,223
asi,222
biología,222
realizando,222
postular,222
ello,221
procesos,220
acerca,220
sociología,220
apoyo,220
antonia,220
resultados,220
microeconomía,219
muchos,217
ninguno,216
dias,216
pre,216
san,214
ofg,213
docencia,213
tenido,213
realicé,211
comentarios,210
teniendo,210
fuera,210
inasistencia,209
llegar,207
aparecen,206
estimado,205
programa,205
reservados,205
actual,205
central,204
orientación,203
industrial,202
entrar,202
obligatorio,201
campus,200
plazo,199
aprobé,198
ademas,198
interés,198
cuál,197
asistencia,197
computación,196
comportamiento,196
años,196
fechas,196
retirar,196
suspensión,196
aprobados,196
aprobar,196
sobrepaso,195
arte,195
quedé,194
profesores,194
acceder,194
abrieron,194
asistir,193
gratuidad,193
ruego,193
alumnos,192
podré,192
vra,192
urgencia,191
eliminar,191
análisis,190
alguien,190
finanzas,190
sido,190
través,190
rendir,190
lista,190
mundo,189
exploratorio,189
contabilidad,189
plataforma,189
cosa,189
resolver,189
correspondiente,188
sol,188
par,188
jueves,188
anteriores,187
temas,187
icp,186
da,186
eyp,186
ficha,185
gran,185
dirijo,185
coordinadora,183
evaluaciones,183
viernes,182
solamente,182
personas,182
topes,182
horas,182
verano,181
disciplina,181
abran,180
envié,180
encuentra,180
track,180
última,179
reprobé,179
pronta,179
quedar,179
nunca,178
escribí,178
reservadas,178
respondieron,178
petición,177
maría,177
software,176
martes,176
alumna,176
amplitud,176
nos,176
revisando,176
justificación,175
dieron,175
ende,175
publicidad,175
estimada,175
enviar,174
claro,174
algebra,173
profundización,173
qimb,173
pide,173
interesa,173
estén,173
penal,172
algunas,172
adelantar,171
ficción,171
tan,171
sirven,170
majors,170
seguro,169
evaluación,169
será,169
autorización,168
ejemplo,168
pasar,168
mí,167
vía,167
operativa,166
continuidad,166
nueva,166
m,166
directamente,166
estuve,166
iba,166
va,165
varios,165
tarde,164
atraso,163
dejar,163
acabo,163
vi,163
confirmar,162
encontrar,162
notas,161
termodinámica,161
practica,161
mecánica,161
atrasaría,160
cantidad,160
resto,160
escribir,159
intro,159
noches,159
alguno,159
joaquín,159
estimad,159
ética,158
cualquiera,157
k,157
comento,157
disciplinarios,156
intentando,156
ambas,156
cuento,156
tipo,156
bioc,156
actualidad,155
escuela,155
especial,155
particular,155
recién,155
específicamente,154
dia,153
natural,153
iniciación,152
instituciones,152
geografía,152
dinámica,152
pocos,151
chile,151
romano,151
tambien,151
pagina,150
mande,150
elegir,150
ignacio,150
planificación,150
van,149
correspondientes,148
iiq,148
número,148
presente,148
tendré,148
álgebra,148
viendo,147
mandar,146
lograr,146
pruebas,146
deportivo,145
optimización,145
oportunidad,145
dicta,145
siglas,145
javiera,145
mental,144
derc,144
prerequisito,143
primeros,143
quedarme,143
realice,143
cursado,143
cr,141
últimos,141
dno,141
semanas,141
solicité,141
decidí,141
tu,140
internacional,140
sacar,140
conseguir,140
estadística,140
tomas,140
importancia,139
cuanto,139
veces,138
muchísimas,138
finalmente,138
buena,137
asesoría,136
justificar,136
envío,136
dejó,135
libre,135
pudiera,135
foto,135
paso,135
veo,135
varias,134
asunto,133
articular,133
ojalá,133
modelos,133
quedaría,133
imposible,132
preferencia,132
volver,131
cultura,131
documento,131
esas,131
siempre,131
proximo,131
realizado,131
ciertos,130
empresas,130
eaea,130
relación,130
economia,129
dan,129
periodismo,129
mucha,129
encontré,129
prerrequisito,129
gob,129
adicional,129
motivos,128
administración,128
haya,128
promedio,128
josé,127
materiales,127
quedó,127
futuro,127
derf,127
bioquímica,126
necesitaba,126
espera,126
tengan,126
pasos,126
topan,126
personales,126
buscar,126
icm,126
titulación,126
negocios,125
viene,125
cátedra,125
fueron,124
escrita,124
capstone,124
acá,124
necesidad,124
fundamental,124
formalización,123
despide,123
respuestas,123
vicente,123
filosóficos,123
formas,123
ella,123
continuación,123
convivencia,123
estudio,123
segura,122
alcance,122
suma,122
ingreso,122
finalizar,121
cuáles,121
eran,121
pensando,121
mal,120
carreras,120
minors,120
requiero,119
módulo,119
presencial,119
hablé,117
mencionado,117
sucede,117
resolución,117
p,117
aclarar,116
podria,116
sigue,116
psicologia,116
llevo,116
ahí,116
logré,116
genera,115
innovación,115
diego,115
sandra,114
compañeros,114
precalculo,114
agosto,113
igualmente,113
inicio,113
consideración,112
toca,112
mano,112
preocupa,112
alcancé,112
instancia,111
sofía,111
quimica,111
modulo,111
llamo,111
corresponden,111
probabilidad,111
renuncia,111
cuándo,110
recibir,110
ihi,110
avanzando,110
cuentan,110
pregunto,110
minimo,110
licenciarme,110
ieu,110
considerar,110
recibido,110
fuentes,109
proyecto,109
imagen,109
efectivamente,109
inscrita,109
ambiental,109
quién,109
enf,109
agendar,109
cuestión,109
significa,108
urbana,108
pensado,108
gonzález,108
magister,107
alcanzar,107
permitió,107
miércoles,107
matematicas,107
solicitando,107
razones,107
procedimiento,106
tsl,106
mes,106
dónde,106
demás,106
florencia,106
indica,106
control,105
ayuden,105
procedimientos,105
funciona,104
mando,104
adelante,104
qima,104
quedando,104
acumulada,103
estudiar,103
estaban,103
suspender,103
macroeconomía,102
visuales,102
den,102
esté,102
escritura,102
preguntas,102
deben,102
parece,102
introduccion,102
liberar,102
idea,101
creditaje,101
mandé,101
antigua,101
ocurre,101
quinto,101
creativa,100
traspasarme,100
decisión,100
sigo,100
aquí,100
casi,100
estimadas,100
emprendimiento,100
excepción,99
martín,99
cursé,98
logro,98
tecnologías,98
contacto,98
archivo,98
disponibilidad,98
toda,98
bienestar,98
fernanda,98
enviaron,97
teológico,97
matemática,97
comunicarme,97
contrario,97
solicite,97
aahh,96
pasada,96
podían,96
lenguaje,96
encuentran,96
responder,96
do,96
cambios,96
vuelta,95
web,95
parecer,95
cae,95
piden,95
termino,95
tomados,95
total,95
pago,95
mercado,94
contar,94
darme,94
periodística,94
vuelvo,94
completo,94
nose,94
euc,94
pedí,94
camila,93
principio,93
estimads,93
acuerdo,93
bioestadística,93
julio,93
catalina,93
dirección,93
registro,93
período,93
algun,92
llegó,92
revisé,92
equipo,92
organizacional,92
previamente,92
persona,92
pregrado,92
visto,91
prerequisitos,91
er,91
constanza,91
asignado,91
habia,91
juan,90
civiles,90
organización,90
indicaron,90
difícil,90
nivel,90
aplicaciones,90
académicas,90
interesado,90
sofia,90
serían,90
opr,90
deberia,90
postulación,90
siguiendo,90
asignatura,89
canvas,89
tercera,89
decía,89
obrera,89
transporte,89
inconveniente,89
obligaciones,89
llego,89
ttf,89
despido,88
actividades,88
tomás,88
consultas,88
reprobado,88
empezar,88
pasó,88
hubo,88
surgió,88
salía,88
pensé,87
catedra,87
encuentres,87
realiza,87
situacion,87
rii,87
liberaron,87
prerrequisitos,86
estan,86
iban,86
enfermería,86
paes,86
creación,86
especialidad,86
cumplía,86
preocupado,86
maneras,86
construcción,86
posibles,86
solicitado,86
dijieron,85
ayudante,85
perder,85
cosas,85
imparte,85
siento,85
procesales,85
ideal,85
ayudantía,85
pagar,84
muchísimo,84
congelar,84
intentado,84
interrogación,84
humana,84
pd,84
santiago,83
enviado,83
sustentable,83
ich,83
realizo,83
minutos,83
iee,83
publicas,83
destacar,83
maria,83
formalizar,82
finales,82
